#separator:tab
#html:false
#notetype:N3 Vocab (drip)
#columns:Word	WordFurigana	Reading	Meaning	PartOfSpeech	Type	Sentence1	Sentence1EN	Sentence2	Sentence2EN	Sentence3	Sentence3EN	Note	Tags
#tags column:14
正確	正確[せいかく]	せいかく	accurate; exact; precise	na-adjective	adj	正確[せいかく]な 時間[じかん]を 教[おし]えてください。	Please tell me the exact time.	この 時計[とけい]は 正確[せいかく]だ。	This watch is accurate.	情報[じょうほう]を 正確[せいかく]に 伝[つた]えることが 大切[たいせつ]だ。	It is important to convey information accurately.	Homophone with 性格 (personality). 正確 takes な. 正しい (i-adj) = correct.	N3::day04 adj
意外	意外[いがい]	いがい	unexpected; surprising	na-adjective	adj	彼[かれ]が 料理[りょうり] 上手[じょうず]だなんて、 意外[いがい]だ。	It is surprising that he is good at cooking.	試験[しけん]は 意外[いがい]に 簡単[かんたん]だった。	The exam was unexpectedly easy.	意外[いがい]な 人[ひと]から 手紙[てがみ]が 来[き]た。	A letter came from an unexpected person.	Homophone trap: 意外 (unexpected) vs 以外 (except for, N4). Spoken: 意外と = surprisingly.	N3::day04 adj
面倒	面倒[めんどう]	めんどう	troublesome; a bother; care (looking after)	na-adjective / noun	adj	手続[てつづ]きが 面倒[めんどう]で、まだやっていない。	The procedure is a hassle, so I have not done it yet.	面倒[めんどう]な 仕事[しごと]は 先[さき]に 終[お]わらせよう。	Let us finish the annoying tasks first.	妹[いもうと]の 面倒[めんどう]を 見[み]た。	I looked after my little sister.	面倒くさい (spoken: めんどくさい) = what a pain. 面倒を見る = take care of someone; different sense.	N3::day04 adj
なるべく	なるべく	なるべく	as much as possible; if possible	adverb	adv	なるべく 早[はや]く 返事[へんじ]をください。	Please reply as soon as possible.	なるべく 日本語[にほんご]で 話[はな]すようにしている。	I try to speak in Japanese as much as I can.	砂糖[さとう]はなるべく 使[つか]わないで 作[つく]った。	I made it using as little sugar as possible.	Synonym: できるだけ (slightly stronger). Always written in kana.	N3::day04 adv
少なくとも	少[すく]なくとも	すくなくとも	at least	adverb	adv	少[すく]なくとも 一日[いちにち] 一時間[いちじかん]は 勉強[べんきょう]した 方[ほう]がいい。	You should study at least an hour a day.	修理[しゅうり]には 少[すく]なくとも 一週間[いっしゅうかん]かかる。	Repairs will take at least a week.	少[すく]なくとも 私[わたし]はそう 思[おも]う。	At least, that is what I think.	From 少ない + とも. Opposite: せいぜい (at most). Spoken alternative: 最低でも.	N3::day04 adv
突然	突然[とつぜん]	とつぜん	suddenly; abruptly	adverb / na-adjective	adv	突然[とつぜん]、 雨[あめ]が 降[ふ]り 出[だ]した。	Suddenly it started raining.	彼[かれ]は 突然[とつぜん] 会社[かいしゃ]を 辞[や]めた。	He quit the company abruptly.	突然[とつぜん]の 電話[でんわ]に 驚[おどろ]いた。	I was surprised by the sudden phone call.	突然 = sudden/unexpected; 急に = suddenly (rapid change). Both N3; 突然 is more written.	N3::day04 adv
直接	直接[ちょくせつ]	ちょくせつ	directly; direct	adverb / noun	adv	分[わ]からないことは 先生[せんせい]に 直接[ちょくせつ] 聞[き]いてください。	Ask the teacher directly about anything you do not understand.	店[みせ]に 直接[ちょくせつ] 行[い]った 方[ほう]が 早[はや]い。	It is faster to go straight to the shop.	この 問題[もんだい]は 私[わたし]と 直接[ちょくせつ] 関係[かんけい]がない。	This problem has no direct connection to me.	Opposite: 間接 (かんせつ) = indirect. Reading ちょくせつ.	N3::day04 adv
気づく	気[き]づく	きづく	to notice; to realize	v5 intransitive	verb	間違[まちが]いに 気[き]づいたら、すぐ 直[なお]してください。	If you notice a mistake, please fix it right away.	彼女[かのじょ]が 髪[かみ]を 切[き]ったことに 気[き]づかなかった。	I did not notice that she had cut her hair.	家[いえ]を 出[で]てから、 財布[さいふ]がないことに 気[き]づいた。	After leaving the house, I realized I did not have my wallet.	Takes に. Also written 気付く. 気がつく = same meaning.	N3::day05 verb
驚く	驚[おどろ]く	おどろく	to be surprised	v5 intransitive	verb	突然[とつぜん]の 知[し]らせに 驚[おどろ]いた。	I was surprised by the sudden news.	物価[ぶっか]の 高[たか]さに 驚[おどろ]きました。	I was surprised at how high prices are.	驚[おどろ]いたことに、 二人[ふたり]は 同[おな]じ 誕生日[たんじょうび]だった。	Surprisingly, the two had the same birthday.	驚いたことに = to my surprise (written). Spoken: びっくりする.	N3::day05 verb
変化	変化[へんか]	へんか	change	noun / suru-verb	verb	気温[きおん]の 変化[へんか]が 激[はげ]しい。	The temperature changes are extreme.	町[まち]の 様子[ようす]は 大[おお]きく 変化[へんか]した。	The look of the town has changed greatly.	生活[せいかつ]の 変化[へんか]に 体[からだ]がついていかない。	My body cannot keep up with the changes in my life.	Formal version of 変わる. 変化する is intransitive.	N3::day05 verb
比べる	比[くら]べる	くらべる	to compare	v1 transitive	verb	値段[ねだん]を 比[くら]べてから 買[か]います。	I compare prices before buying.	去年[きょねん]と 比[くら]べて、 今年[ことし]は 雨[あめ]が 多[おお]い。	Compared to last year, this year has a lot of rain.	人[ひと]と 比[くら]べても 意味[いみ]がない。	There is no point comparing yourself with others.	〜に比べて also correct. Formal noun: 比較.	N3::day05 verb
比較	比較[ひかく]	ひかく	comparison	noun / suru-verb	verb	二[ふた]つの 商品[しょうひん]を 比較[ひかく]した。	I compared the two products.	他[ほか]の 国[くに]と 比較[ひかく]すると、 日本[にほん]は 安全[あんぜん]だ。	Compared with other countries, Japan is safe.	比較的[ひかくてき] 簡単[かんたん]な 問題[もんだい]だった。	It was a relatively easy problem.	比較的 = relatively (adverb) — exam favourite. Spoken: 比べる.	N3::day05 verb
諦める	諦[あきら]める	あきらめる	to give up	v1 transitive	verb	最後[さいご]まで 諦[あきら]めないでください。	Please do not give up until the end.	雨[あめ]なので、 花見[はなみ]は 諦[あきら]めた。	It is raining, so we gave up on the cherry-blossom viewing.	夢[ゆめ]を 諦[あきら]めるのはまだ 早[はや]い。	It is still too early to give up on your dream.	Kanji 諦 is N1-level; often written あきらめる in kana.	N3::day05 verb
確か	確[たし]か	たしか	certain; (adv) if I remember correctly	adverb / na-adjective	adv	確[たし]か、 会議[かいぎ]は 三時[さんじ]からだったと 思[おも]う。	If I remember right, the meeting was from three.	それは 確[たし]かな 情報[じょうほう]ですか。	Is that reliable information?	彼[かれ]が 来[く]るかどうか、 確[たし]かではない。	It is not certain whether he will come.	確か = I think, if I recall; 確かに = certainly/indeed. Different! Verb: 確かめる.	N3::day05 adv
当然	当然[とうぜん]	とうぜん	natural; of course	adverb / na-adjective	adv	働[はたら]いたら、 給料[きゅうりょう]をもらうのは 当然[とうぜん]だ。	If you work, it is only natural to get paid.	彼[かれ]が 怒[おこ]るのも 当然[とうぜん]だ。	It is no wonder he is angry.	当然[とうぜん]、 準備[じゅんび]はしてありますよね。	Naturally, you have prepared, right?	当たり前 (spoken) = 当然 (formal). 当然の結果 = a natural result.	N3::day05 adv
偶然	偶然[ぐうぜん]	ぐうぜん	by chance; coincidence	adverb / noun	adv	駅[えき]で 偶然[ぐうぜん]、 昔[むかし]の 友人[ゆうじん]に 会[あ]った。	I ran into an old friend at the station by chance.	それは 偶然[ぐうぜん]ではないと 思[おも]う。	I do not think that is a coincidence.	偶然[ぐうぜん]にも、 二人[ふたり]は 同[おな]じ 本[ほん]を 読[よ]んでいた。	By coincidence, the two were reading the same book.	Opposite: 必然. わざと = on purpose. Spoken: たまたま.	N3::day05 adv
途中	途中[とちゅう]	とちゅう	on the way; midway	noun	noun	学校[がっこう]へ 行[い]く 途中[とちゅう]で、 先生[せんせい]に 会[あ]った。	On the way to school, I met my teacher.	映画[えいが]を 途中[とちゅう]で 見[み]るのをやめた。	I stopped watching the film partway through.	話[はなし]の 途中[とちゅう]ですみませんが、 電話[でんわ]です。	Sorry to interrupt, but there is a phone call for you.	途中で = midway through. 中途半端 = half-done (related feel).	N3::day05 noun
以前	以前[いぜん]	いぜん	before; previously	noun / adverb	noun	以前[いぜん]、この 近[ちか]くに 住[す]んでいました。	I used to live near here.	以前[いぜん]より 日本語[にほんご]が 上手[じょうず]になりましたね。	Your Japanese has gotten better than before.	五時[ごじ] 以前[いぜん]に 来[き]てください。	Please come before five o'clock.	Opposite: 以後／以降. Spoken: 前（に）.	N3::day05 noun
今後	今後[こんご]	こんご	from now on; in the future	noun / adverb	noun	今後[こんご]の 予定[よてい]を 教[おし]えてください。	Please tell me the plans from here on.	今後[こんご]、このようなことがないように 気[き]をつけます。	I will be careful that this does not happen again.	今後[こんご]も、よろしくお 願[ねが]いします。	I look forward to working with you in the future as well.	Business staple: 今後とも = going forward (emails). これから is the spoken version.	N3::day05 noun
迷惑	迷惑[めいわく]	めいわく	trouble; nuisance	noun / na-adjective	noun	人[ひと]に 迷惑[めいわく]をかけてはいけません。	You must not cause trouble to others.	夜中[よなか]の 電話[でんわ]は 迷惑[めいわく]だ。	Phone calls in the middle of the night are a nuisance.	ご 迷惑[めいわく]をおかけして、 申[もう]し 訳[わけ]ありません。	I am very sorry for the inconvenience.	Core Japan word. 迷惑をかける = cause someone trouble. 迷惑メール = spam.	N3::day05 noun
上司	上司[じょうし]	じょうし	boss; superior	noun	noun	上司[じょうし]に 報告[ほうこく]しなければならない。	I have to report to my boss.	新[あたら]しい 上司[じょうし]は 話[はな]しやすい 人[ひと]だ。	My new boss is easy to talk to.	上司[じょうし]の 指示[しじ]に 従[したが]って 作業[さぎょう]を 進[すす]めた。	I proceeded with the work following my boss's instructions.	Pair: 上司 ↔ 部下 (ぶか, subordinate). 同僚 = colleague.	N3::day05 noun
目標	目標[もくひょう]	もくひょう	goal; target	noun	noun	今年[ことし]の 目標[もくひょう]は 十二月[じゅうにがつ]の 試験[しけん]に 合格[ごうかく]することだ。	This year's goal is to pass the December exam.	目標[もくひょう]を 立[た]てて、 計画的[けいかくてき]に 勉強[べんきょう]しよう。	Set a goal and study systematically.	売[う]り 上[あ]げは 目標[もくひょう]を 超[こ]えた。	Sales exceeded the target.	目標 = measurable target; 目的 = purpose (why). 目標を達成する = achieve a goal.	N3::day05 noun
意識	意識[いしき]	いしき	consciousness; awareness	noun / suru-verb	noun	彼[かれ]は 事故[じこ]の 後[あと]、 意識[いしき]を 失[うしな]った。	He lost consciousness after the accident.	健康[けんこう]を 意識[いしき]して、 野菜[やさい]を 多[おお]く 食[た]べている。	Being health-conscious, I eat a lot of vegetables.	日本人[にほんじん]は 時間[じかん]に 対[たい]する 意識[いしき]が 高[たか]い。	Japanese people have a strong awareness of time.	無意識に = unconsciously. Set with 知識, 常識.	N3::day05 noun
常識	常識[じょうしき]	じょうしき	common sense	noun	noun	電車[でんしゃ]の 中[なか]で 電話[でんわ]しないのは 常識[じょうしき]だ。	Not making phone calls on the train is common sense.	彼[かれ]は 常識[じょうしき]がない。	He has no common sense.	国[くに]によって 常識[じょうしき]は 違[ちが]う。	Common sense differs by country.	非常識 = lacking common sense (strong criticism). Culture-loaded word.	N3::day05 noun
種類	種類[しゅるい]	しゅるい	kind; type; variety	noun	noun	この 店[みせ]にはパンの 種類[しゅるい]が 多[おお]い。	This shop has many kinds of bread.	どんな 種類[しゅるい]の 音楽[おんがく]が 好[す]きですか。	What kind of music do you like?	ごみは 種類[しゅるい]ごとに 分[わ]けてください。	Please separate the garbage by type.	Counter: 一種類, 二種類.	N3::day05 noun
順番	順番[じゅんばん]	じゅんばん	order; turn	noun	noun	順番[じゅんばん]を 守[まも]って 並[なら]んでください。	Please keep your place in line.	名前[なまえ]を 呼[よ]ばれるまで、 順番[じゅんばん]を 待[ま]った。	I waited my turn until my name was called.	順番[じゅんばん]に 自己紹介[じこしょうかい]をしましょう。	Let us introduce ourselves in order.	順番に = in turn. 五十音順 = alphabetical (kana) order.	N3::day05 noun
気に入る	気[き]に 入[い]る	きにいる	to like; to take a liking to	v5 expression	verb	この 部屋[へや]がとても 気[き]に 入[い]りました。	I really like this room.	彼[かれ]は 新[あたら]しい 靴[くつ]を 気[き]に 入[い]っている。	He is fond of his new shoes.	気[き]に 入[い]らなければ、 返品[へんぴん]できます。	If you do not like it, you can return it.	お気に入り = a favourite (also browser bookmarks). 好き (state) vs 気に入る (take a liking).	N3::day05 verb
付き合う	付[つ]き 合[あ]う	つきあう	to date; to keep company; to accompany	v5 intransitive	verb	二人[ふたり]は 三年間[さんねんかん] 付[つ]き 合[あ]っている。	The two have been dating for three years.	買[か]い 物[もの]に 付[つ]き 合[あ]ってくれない？	Will you come shopping with me?	彼[かれ]とは 仕事[しごと]の 上[うえ]だけの 付[つ]き 合[あ]いだ。	My relationship with him is strictly work.	と = relationship; に = tag along. Noun: 付き合い.	N3::day05 verb
役立つ	役立[やくだ]つ	やくだつ	to be useful	v5 intransitive	verb	この 辞書[じしょ]は 勉強[べんきょう]に 役立[やくだ]つ。	This dictionary is useful for studying.	旅行[りょこう]で 学[まな]んだことが 仕事[しごと]に 役立[やくだ]った。	What I learned from traveling was useful in my work.	皆[みな]さんの 役[やく]に 立[た]てば、うれしいです。	I will be glad if this is of use to you all.	役立つ = 役に立つ. 役立たず = useless (person) — harsh.	N3::day05 verb
効く	効[き]く	きく	to be effective; to work	v5 intransitive	verb	この 薬[くすり]は 頭痛[ずつう]によく 効[き]く。	This medicine works well on headaches.	冷房[れいぼう]が 効[き]きすぎて 寒[さむ]い。	The air conditioning is working too well and it is cold.	宣伝[せんでん]が 効[き]いて、 客[きゃく]が 増[ふ]えた。	The advertising worked and customers increased.	Homophone 聞く／聴く. 効き目 = effect. Related noun: 効果 (batch 1).	N3::day05 verb
かなり	かなり	かなり	quite; considerably	adverb	adv	今日[きょう]はかなり 寒[さむ]いですね。	It is quite cold today, is it not.	駅[えき]までかなり 距離[きょり]がある。	It is a fair distance to the station.	彼[かれ]の 日本語[にほんご]はかなりのレベルだ。	His Japanese is at quite a high level.	Between まあまあ and 非常に. Written in kana.	N3::day05 adv
とにかく	とにかく	とにかく	anyway; in any case	adverb	adv	難[むずか]しいことは 後[あと]で 考[かんが]えて、とにかく 始[はじ]めよう。	Think about the hard parts later — anyway, let us start.	とにかく 暑[あつ]い 一日[いちにち]だった。	It was, above all, a hot day.	理由[りゆう]はとにかく、ルールはルールだ。	Whatever the reason, rules are rules.	とりあえず = for now; とにかく = at any rate. Kana only.	N3::day05 adv
述べる	述[の]べる	のべる	to state; to mention	v1 transitive	verb	会議[かいぎ]で 意見[いけん]を 述[の]べた。	I stated my opinion at the meeting.	筆者[ひっしゃ]はこの 問題[もんだい]について 何[なに]と 述[の]べていますか。	What does the author say about this problem?	理由[りゆう]を 簡単[かんたん]に 述[の]べます。	I will state the reasons briefly.	THE reading-section verb: 筆者が述べていること appears in almost every N3 exam. Written/formal 言う.	N3::day06 verb
従う	従[したが]う	したがう	to follow; to obey	v5 intransitive	verb	社員[しゃいん]は 会社[かいしゃ]のルールに 従[したが]わなければならない。	Employees must follow company rules.	医者[いしゃ]の 指示[しじ]に 従[したが]って、 薬[くすり]を 飲[の]んでいる。	I take my medicine following my doctor's instructions.	説明書[せつめいしょ]に 従[したが]って 組[く]み 立[た]ててください。	Please assemble it following the manual.	〜に従って also = as ~ changes (grammar point). Takes に.	N3::day06 verb
任せる	任[まか]せる	まかせる	to entrust; to leave (to someone)	v1 transitive	verb	この 仕事[しごと]は 私[わたし]に 任[まか]せてください。	Please leave this job to me.	店[みせ] 選[えら]びは 君[きみ]に 任[まか]せるよ。	I will leave the choice of restaurant to you.	大事[だいじ]なことを 人[ひと]に 任[まか]せきりにしない 方[ほう]がいい。	It is better not to leave important things entirely to others.	おまかせ at a sushi shop = chef's choice. 任せきり = leaving it all to someone.	N3::day06 verb
確かめる	確[たし]かめる	たしかめる	to confirm; to make sure	v1 transitive	verb	出[で]かける 前[まえ]に、ドアの 鍵[かぎ]を 確[たし]かめた。	Before going out, I checked the door lock.	事実[じじつ]かどうか、 自分[じぶん]の 目[め]で 確[たし]かめたい。	I want to confirm with my own eyes whether it is true.	電話[でんわ]で 時間[じかん]を 確[たし]かめてから 行[い]こう。	Let us check the time by phone before going.	Same family as 確認する (formal) and 確か. Spoken: チェックする.	N3::day06 verb
思いつく	思[おも]いつく	おもいつく	to think of; to come up with	v5 transitive	verb	いいアイデアを 思[おも]いついた。	I came up with a good idea.	名前[なまえ]がどうしても 思[おも]いつかない。	I just cannot think of a name.	思[おも]いついたことを 全部[ぜんぶ]メモしておこう。	Let us note down everything that comes to mind.	思い出す = recall (existing memory); 思いつく = a new idea pops up.	N3::day06 verb
申し込む	申[もう]し 込[こ]む	もうしこむ	to apply; to sign up	v5 transitive	verb	十二月[じゅうにがつ]の 試験[しけん]に 申[もう]し 込[こ]んだ。	I applied for the December exam.	インターネットで 簡単[かんたん]に 申[もう]し 込[こ]むことができます。	You can easily apply online.	参加[さんか]を 希望[きぼう]する 人[ひと]は、 金曜日[きんようび]までに 申[もう]し 込[こ]んでください。	Those who wish to participate, please apply by Friday.	Noun 申し込み pairs with 締め切り (batch 1). Register for JLPT = 試験に申し込む.	N3::day06 verb
受け取る	受[う]け 取[と]る	うけとる	to receive; to accept	v5 transitive	verb	コンビニで 荷物[にもつ]を 受[う]け 取[と]った。	I picked up my package at the convenience store.	メールを 受[う]け 取[と]りました。	I received your email.	彼[かれ]は 私[わたし]の 冗談[じょうだん]を 本気[ほんき]に 受[う]け 取[と]った。	He took my joke seriously.	もらう (casual) → 受け取る (neutral/formal). Also = interpret.	N3::day06 verb
引き受ける	引[ひ]き 受[う]ける	ひきうける	to take on; to accept (a task)	v1 transitive	verb	難[むずか]しい 仕事[しごと]だが、 引[ひ]き 受[う]けることにした。	It is a difficult job, but I decided to take it on.	彼[かれ]は 会[かい]の 司会[しかい]を 引[ひ]き 受[う]けてくれた。	He agreed to be the MC for the event.	何[なん]でも 引[ひ]き 受[う]けると、 後[あと]で 大変[たいへん]になる。	If you take on everything, it gets tough later.	Accept responsibility/work. Opposite move: 断る (batch 1).	N3::day06 verb
取り消す	取[と]り 消[け]す	とりけす	to cancel; to retract	v5 transitive	verb	ホテルの 予約[よやく]を 取[と]り 消[け]した。	I cancelled the hotel reservation.	今[いま]の 発言[はつげん]を 取[と]り 消[け]します。	I retract what I just said.	一度[いちど] 送[おく]った 注文[ちゅうもん]は 取[と]り 消[け]せません。	Orders once placed cannot be cancelled.	キャンセルする is the everyday word; 取り消す is native/formal. 取消ボタン on forms.	N3::day06 verb
変更	変更[へんこう]	へんこう	change; alteration (plans, settings)	noun / suru-verb	verb	予定[よてい]を 変更[へんこう]しました。	I changed the schedule.	出発[しゅっぱつ] 時間[じかん]に 変更[へんこう]があります。	There is a change to the departure time.	パスワードは 定期的[ていきてき]に 変更[へんこう]した 方[ほう]がいい。	You should change your password regularly.	変更 = deliberate change to plans/settings; 変化 = natural change.	N3::day06 verb
中止	中止[ちゅうし]	ちゅうし	cancellation; calling off	noun / suru-verb	verb	台風[たいふう]のため、 祭[まつ]りは 中止[ちゅうし]になった。	The festival was called off because of the typhoon.	雨[あめ]でも 試合[しあい]は 中止[ちゅうし]しません。	Even if it rains, the match will not be cancelled.	計画[けいかく]は 中止[ちゅうし]するべきだと 思[おも]う。	I think the plan should be stopped.	中止になる (it gets cancelled) vs 中止する (someone cancels). Pair with 延期. Listening staple.	N3::day06 verb
延期	延期[えんき]	えんき	postponement	noun / suru-verb	verb	運動会[うんどうかい]は 来週[らいしゅう]に 延期[えんき]された。	The sports day was postponed to next week.	会議[かいぎ]の 延期[えんき]をお 知[し]らせします。	We inform you of the meeting's postponement.	出発[しゅっぱつ]を 一日[いちにち] 延期[えんき]することにした。	We decided to postpone departure by one day.	中止 = cancelled entirely; 延期 = moved to later. Both on the listening section constantly.	N3::day06 verb
到着	到着[とうちゃく]	とうちゃく	arrival	noun / suru-verb	verb	電車[でんしゃ]は 十五分[じゅうごふん] 遅[おく]れて 到着[とうちゃく]した。	The train arrived fifteen minutes late.	到着[とうちゃく]したら、 連絡[れんらく]してください。	Please contact me when you arrive.	ホテルへの 到着[とうちゃく] 時間[じかん]を 教[おし]えてください。	Please tell me your arrival time at the hotel.	Opposite: 出発. 着く is the everyday verb.	N3::day06 verb
遅刻	遅刻[ちこく]	ちこく	being late (for a set time)	noun / suru-verb	verb	寝坊[ねぼう]して、 学校[がっこう]に 遅刻[ちこく]した。	I overslept and was late for school.	遅刻[ちこく]する 場合[ばあい]は、 必[かなら]ず 連絡[れんらく]してください。	If you are going to be late, be sure to contact us.	彼[かれ]は 遅刻[ちこく]が 多[おお]い。	He is often late.	遅刻 = late for a set time; 遅れる = be delayed generally. 寝坊 = oversleeping.	N3::day06 verb
移動	移動[いどう]	いどう	movement; moving (place to place)	noun / suru-verb	verb	会場[かいじょう]まではバスで 移動[いどう]します。	We will move to the venue by bus.	席[せき]を 移動[いどう]してもいいですか。	May I move seats?	移動[いどう] 中[ちゅう]に 資料[しりょう]を 読[よ]んだ。	I read the materials while in transit.	引っ越し = moving house; 移動 = moving position. 移動中 = on the move.	N3::day06 verb
料金	料金[りょうきん]	りょうきん	fee; charge; fare	noun	noun	電気[でんき] 料金[りょうきん]が 上[あ]がった。	Electricity charges went up.	この 駐車場[ちゅうしゃじょう]の 料金[りょうきん]は 一時間[いちじかん] 三百円[さんびゃくえん]だ。	This parking lot's fee is 300 yen per hour.	追加[ついか] 料金[りょうきん]はかかりません。	There is no additional charge.	料金 = charge for a service; 値段 = price of goods; 費用 = expenses overall.	N3::day06 noun
費用	費用[ひよう]	ひよう	expense; cost	noun	noun	旅行[りょこう]の 費用[ひよう]は 一人[ひとり] 五万円[ごまんえん]ぐらいだ。	The cost of the trip is about 50,000 yen per person.	引[ひ]っ 越[こ]しには 思[おも]ったより 費用[ひよう]がかかった。	Moving cost more than I expected.	費用[ひよう]を 抑[おさ]える 方法[ほうほう]を 考[かんが]えよう。	Let us think of ways to keep costs down.	費用 = total costs; 料金 = a set fee. 〜費 suffix: 交通費, 生活費, 参加費.	N3::day06 noun
割引	割引[わりびき]	わりびき	discount	noun / suru-verb	noun	学生[がくせい]は 二割引[にわりびき]になります。	Students get 20 percent off.	割引[わりびき]クーポンを 使[つか]った。	I used a discount coupon.	この 商品[しょうひん]は 割引[わりびき]できません。	This item cannot be discounted.	二割引 = 20% off (割 = 10%). 学割 = student discount (abbreviation).	N3::day06 noun
計算	計算[けいさん]	けいさん	calculation	noun / suru-verb	verb	合計[ごうけい]を 計算[けいさん]してください。	Please calculate the total.	計算[けいさん]が 合[あ]わない。	The numbers do not add up.	彼女[かのじょ]は 計算[けいさん]が 速[はや]い。	She is quick at arithmetic.	計算に入れる = take into account. 暗算 = mental arithmetic.	N3::day06 verb
貯金	貯金[ちょきん]	ちょきん	savings; saving money	noun / suru-verb	verb	毎月[まいつき] 三万円[さんまんえん] 貯金[ちょきん]している。	I save 30,000 yen every month.	貯金[ちょきん]が 少[すこ]しずつ 増[ふ]えてきた。	My savings have been growing little by little.	旅行[りょこう]のために 貯金[ちょきん]を 始[はじ]めた。	I started saving for a trip.	貯金 = savings; 預金 (よきん) = bank deposit (formal). Verb: 貯める.	N3::day06 verb
節約	節約[せつやく]	せつやく	saving; economizing	noun / suru-verb	verb	電気[でんき]を 節約[せつやく]しましょう。	Let us save electricity.	外食[がいしょく]を 減[へ]らして、 食費[しょくひ]を 節約[せつやく]している。	I am cutting eating out to economize on food costs.	時間[じかん]の 節約[せつやく]になる 方法[ほうほう]を 探[さが]している。	I am looking for ways to save time.	節約 = using less; 貯金 = putting money aside. 節電・節水 = saving electricity/water.	N3::day06 verb
給料	給料[きゅうりょう]	きゅうりょう	salary; pay	noun	noun	給料[きゅうりょう]は 毎月[まいつき] 二十五日[にじゅうごにち]に 出[で]る。	Pay comes out on the 25th of each month.	給料[きゅうりょう]が 上[あ]がってうれしい。	I am happy my salary went up.	給料日[きゅうりょうび] 前[まえ]で、お 金[かね]がない。	It is just before payday and I have no money.	給料 = everyday word; 給与 = formal HR term. 月給/時給 = monthly/hourly pay.	N3::day06 noun
税金	税金[ぜいきん]	ぜいきん	tax	noun	noun	給料[きゅうりょう]から 税金[ぜいきん]が 引[ひ]かれる。	Taxes are deducted from your salary.	税金[ぜいきん]の 使[つか]い 方[かた]に 関心[かんしん]がある。	I am interested in how taxes are used.	この 値段[ねだん]に 税金[ぜいきん]は 含[ふく]まれていますか。	Is tax included in this price?	消費税 = consumption tax; 税込 = tax included. 〜税 suffix works widely.	N3::day06 noun
残業	残業[ざんぎょう]	ざんぎょう	overtime work	noun / suru-verb	verb	今日[きょう]は 残業[ざんぎょう]で 帰[かえ]りが 遅[おそ]くなる。	I will be home late today because of overtime.	毎日[まいにち] 残業[ざんぎょう]するのは 体[からだ]に 良[よ]くない。	Working overtime every day is not good for your health.	残業代[ざんぎょうだい]はちゃんと 出[で]ますか。	Is overtime actually paid?	Japan-life essential. 定時 = regular closing time; 定時で帰る = leave on time.	N3::day06 verb
出張	出張[しゅっちょう]	しゅっちょう	business trip	noun / suru-verb	verb	来週[らいしゅう]、 大阪[おおさか]に 出張[しゅっちょう]します。	I am going on a business trip to Osaka next week.	部長[ぶちょう]は 今[いま] 出張[しゅっちょう] 中[ちゅう]です。	The department head is away on business now.	出張[しゅっちょう]の 予定[よてい]が 急[きゅう]に 決[き]まった。	The business trip was suddenly decided.	出張中 = away on business (phone phrase). 日帰り出張 = a day business trip.	N3::day06 verb
進める	進[すす]める	すすめる	to advance; to move forward (work, plans)	v1 transitive	verb	計画[けいかく]を 予定[よてい] 通[どお]りに 進[すす]めましょう。	Let us move the plan forward as scheduled.	準備[じゅんび]を 進[すす]めています。	We are proceeding with preparations.	話[はなし]を 先[さき]に 進[すす]めてもいいですか。	May I move the discussion forward?	Homophone trap: 進める (advance) vs 勧める (recommend). Exam loves this pair.	N3::day07 verb
勧める	勧[すす]める	すすめる	to recommend; to encourage	v1 transitive	verb	医者[いしゃ]に 運動[うんどう]を 勧[すす]められた。	The doctor recommended I exercise.	友達[ともだち]に 勧[すす]められた 本[ほん]を 読[よ]んでいる。	I am reading a book my friend recommended.	この 店[みせ]のカレーはお 勧[すす]めです。	The curry at this place is recommended.	おすすめ on menus = house recommendation. See 進める note — same reading.	N3::day07 verb
加える	加[くわ]える	くわえる	to add	v1 transitive	verb	スープに 塩[しお]を 少[すこ]し 加[くわ]えてください。	Please add a little salt to the soup.	リストに 名前[なまえ]を 加[くわ]えた。	I added a name to the list.	説明[せつめい]を 付[つ]け 加[くわ]えます。	I will add an explanation.	加える (vt) ↔ 加わる (vi). 〜に加えて = in addition to (N3 grammar).	N3::day07 verb
加わる	加[くわ]わる	くわわる	to join; to be added	v5 intransitive	verb	新[あたら]しいメンバーがチームに 加[くわ]わった。	A new member joined the team.	議論[ぎろん]に 加[くわ]わってもいいですか。	May I join the discussion?	寒[さむ]さに 風[かぜ]も 加[くわ]わって、 外[そと]は 大変[たいへん]だ。	With wind added to the cold, it is rough outside.	Pair with 加える. 参加する is the suru-verb for joining events.	N3::day07 verb
伸びる	伸[の]びる	のびる	to stretch; to grow; to improve	v1 intransitive	verb	髪[かみ]がずいぶん 伸[の]びましたね。	Your hair has grown quite a bit.	日本語[にほんご]の 力[ちから]が 伸[の]びてきた。	My Japanese ability has been improving.	売[う]り 上[あ]げが 伸[の]びている。	Sales are growing.	Growth in length/ability/sales. Pair: 伸ばす (vt). ラーメンが伸びる = noodles go soggy.	N3::day07 verb
伸ばす	伸[の]ばす	のばす	to stretch out; to grow (hair); to develop	v5 transitive	verb	手[て]を 伸[の]ばして、 棚[たな]の 上[うえ]の 本[ほん]を 取[と]った。	I stretched out my hand and took the book from the shelf.	髪[かみ]を 伸[の]ばすことにした。	I decided to grow my hair out.	子[こ]どもの 長所[ちょうしょ]を 伸[の]ばしたい。	I want to develop my child's strengths.	Pair: 伸びる (vi). 背筋を伸ばす = straighten your back.	N3::day07 verb
